regime,GENERALIST,UNIQUE_SPECIALIST,SPECIALIST_TIE,UNCOVERED,total,specialist_or_tie,specialist_or_tie_fraction_covered
A,4,10,2,4,20,12,0.75
B,10,5,1,2,18,6,0.375
C,4,3,0,5,12,3,0.42857142857142855
